test,doc_count,chunk_count,backend,latency_s,latency_ms,measurement_type,is_simulated,real_inference,note,answer_length
embedding,1,16,CPU,0.000502,0.502,real_hardware,False,True,Real hardware measurement,
embedding,1,16,GPU,0.026102,26.102,real_hardware,False,True,Real hardware measurement,
embedding,1,16,SimulatedNPU,0.081399,81.399,simulated,True,False,"Simulated via time.sleep multiplier, not real hardware",
embedding,5,80,CPU,0.001169,1.169,real_hardware,False,True,Real hardware measurement,
embedding,5,80,GPU,0.002241,2.241,real_hardware,False,True,Real hardware measurement,
embedding,5,80,SimulatedNPU,0.402997,402.997,simulated,True,False,"Simulated via time.sleep multiplier, not real hardware",
embedding,10,160,CPU,0.002811,2.811,real_hardware,False,True,Real hardware measurement,
embedding,10,160,GPU,0.003478,3.478,real_hardware,False,True,Real hardware measurement,
embedding,10,160,SimulatedNPU,0.803681,803.681,simulated,True,False,"Simulated via time.sleep multiplier, not real hardware",
embedding,20,320,CPU,0.005772,5.772,real_hardware,False,True,Real hardware measurement,
embedding,20,320,GPU,0.006554,6.554,real_hardware,False,True,Real hardware measurement,
embedding,20,320,SimulatedNPU,1.607518,1607.518,simulated,True,False,"Simulated via time.sleep multiplier, not real hardware",
query_embedding,,10,CPU,3.2e-05,0.032,real_hardware,False,True,Real hardware measurement,
query_embedding,,10,GPU,0.000179,0.179,real_hardware,False,True,Real hardware measurement,
query_embedding,,10,SimulatedNPU,0.007,7.0,simulated,True,False,"Simulated via time.sleep multiplier, not real hardware",
query_embedding,,50,CPU,1.4e-05,0.014,real_hardware,False,True,Real hardware measurement,
query_embedding,,50,GPU,0.000158,0.158,real_hardware,False,True,Real hardware measurement,
query_embedding,,50,SimulatedNPU,0.006838,6.838,simulated,True,False,"Simulated via time.sleep multiplier, not real hardware",
query_embedding,,100,CPU,1.4e-05,0.014,real_hardware,False,True,Real hardware measurement,
query_embedding,,100,GPU,0.000168,0.168,real_hardware,False,True,Real hardware measurement,
query_embedding,,100,SimulatedNPU,0.006818,6.818,simulated,True,False,"Simulated via time.sleep multiplier, not real hardware",
generation,,,CPU,5e-05,0.05,real_hardware,False,True,Real hardware measurement,28
generation,,,GPU,0.004377,4.377,real_hardware,False,True,Real hardware measurement,28
generation,,,SimulatedNPU,0.021165,21.165,simulated,True,False,"Simulated via time.sleep multiplier, not real hardware",28
end_to_end_rag,1,10,CPU,0.000393,0.393,real_hardware,False,True,Real hardware measurement,
end_to_end_rag,1,10,GPU,0.001143,1.143,real_hardware,False,True,Real hardware measurement,
end_to_end_rag,1,10,SimulatedNPU,0.081586,81.586,simulated,True,False,"Simulated via time.sleep multiplier, not real hardware",
end_to_end_rag,5,50,CPU,0.001276,1.276,real_hardware,False,True,Real hardware measurement,
end_to_end_rag,5,50,GPU,0.002244,2.244,real_hardware,False,True,Real hardware measurement,
end_to_end_rag,5,50,SimulatedNPU,0.282608,282.608,simulated,True,False,"Simulated via time.sleep multiplier, not real hardware",
end_to_end_rag,10,100,CPU,0.00242,2.42,real_hardware,False,True,Real hardware measurement,
end_to_end_rag,10,100,GPU,0.003354,3.354,real_hardware,False,True,Real hardware measurement,
end_to_end_rag,10,100,SimulatedNPU,0.533795,533.795,simulated,True,False,"Simulated via time.sleep multiplier, not real hardware",
end_to_end_rag,20,200,CPU,0.00456,4.56,real_hardware,False,True,Real hardware measurement,
end_to_end_rag,20,200,GPU,0.005787,5.787,real_hardware,False,True,Real hardware measurement,
end_to_end_rag,20,200,SimulatedNPU,1.035697,1035.697,simulated,True,False,"Simulated via time.sleep multiplier, not real hardware",
