timestamp,elapsed_s,cpu_percent,memory_percent,memory_used_mb,gpu_power_w,gpu_power_source,is_rocm_power_available
2026-06-10T10:06:52,0.0,0.0,5.7,3628.0,28.064,rocm-smi --showpower,True
2026-06-10T10:06:53,1.068,28.0,6.3,4027.71,35.002,rocm-smi --showpower,True
2026-06-10T10:06:54,2.127,11.7,6.1,3925.63,29.02,rocm-smi --showpower,True
2026-06-10T10:06:55,3.186,3.6,6.0,3871.15,28.003,rocm-smi --showpower,True
2026-06-10T10:06:56,4.253,27.7,6.3,4015.42,32.065,rocm-smi --showpower,True
2026-06-10T10:06:57,5.316,20.6,6.4,4068.8,32.001,rocm-smi --showpower,True
2026-06-10T10:06:58,6.382,61.1,6.4,4104.22,52.008,rocm-smi --showpower,True
2026-06-10T10:06:59,7.445,11.8,6.6,4196.91,39.032,rocm-smi --showpower,True
2026-06-10T10:07:00,8.522,21.8,6.5,4183.95,38.07,rocm-smi --showpower,True
2026-06-10T10:07:01,9.588,21.4,6.6,4208.73,32.071,rocm-smi --showpower,True
2026-06-10T10:07:02,10.654,2.7,6.6,4259.62,27.036,rocm-smi --showpower,True
2026-06-10T10:07:04,11.721,22.0,6.3,4025.67,35.024,rocm-smi --showpower,True
2026-06-10T10:07:05,12.818,16.8,6.4,4122.06,28.071,rocm-smi --showpower,True
2026-06-10T10:07:06,13.903,0.6,6.4,4116.79,16.068,rocm-smi --showpower,True
2026-06-10T10:07:07,14.986,0.7,6.4,4099.34,11.052,rocm-smi --showpower,True
2026-06-10T10:07:08,16.066,0.6,6.4,4077.42,9.034,rocm-smi --showpower,True
2026-06-10T10:07:09,17.147,0.8,6.3,4061.11,9.032,rocm-smi --showpower,True
2026-06-10T10:07:10,18.229,0.4,6.3,4046.78,8.051,rocm-smi --showpower,True
2026-06-10T10:07:11,19.312,0.6,6.3,4029.27,8.078,rocm-smi --showpower,True
2026-06-10T10:07:12,20.397,0.5,6.3,4017.95,8.062,rocm-smi --showpower,True
2026-06-10T10:07:13,21.484,0.5,6.3,4011.01,8.06,rocm-smi --showpower,True
2026-06-10T10:07:14,22.565,1.3,6.2,3998.51,11.002,rocm-smi --showpower,True
2026-06-10T10:07:15,23.642,0.7,6.2,3994.62,10.03,rocm-smi --showpower,True
2026-06-10T10:07:17,24.72,0.6,6.2,3988.22,9.068,rocm-smi --showpower,True
